SNo,Date,Price,Open,High,Low,Vol.,Change %
357,09-02-2020,0.27602,0.29533,0.30373,0.26565,208000000,-6.57
356,09-03-2020,0.2443,0.27602,0.27647,0.2397,207000000,-11.49
355,09-04-2020,0.25404,0.2443,0.26547,0.24113,207000000,3.99
354,09-05-2020,0.23736,0.25403,0.25941,0.23152,222000000,-6.56
353,09-06-2020,0.23984,0.23737,0.2434,0.22977,178000000,1.05
352,09-07-2020,0.24207,0.23985,0.24285,0.22986,177000000,0.93
351,09-08-2020,0.2365,0.242,0.24355,0.23133,175000000,-2.3
350,09-09-2020,0.23904,0.2365,0.24273,0.23312,143000000,1.07
349,09-10-2020,0.24312,0.23901,0.24858,0.23888,156000000,1.71
348,09-11-2020,0.24257,0.24311,0.24441,0.23701,135000000,-0.23
347,09-12-2020,0.24748,0.24258,0.24873,0.24023,135000000,2.02
346,09-13-2020,0.24206,0.24741,0.25336,0.23778,102000000,-2.19
345,09-14-2020,0.2457,0.24203,0.24833,0.23915,107000000,1.5
344,09-15-2020,0.24331,0.24559,0.24939,0.24218,107000000,-0.97
343,09-16-2020,0.24674,0.24331,0.25112,0.23431,109000000,1.41
342,09-17-2020,0.25209,0.24683,0.25821,0.24614,110000000,2.17
341,09-18-2020,0.25061,0.25214,0.25523,0.24641,109000000,-0.59
340,09-19-2020,0.25111,0.25061,0.25459,0.24748,862880000,0.2
339,09-20-2020,0.24641,0.25082,0.25131,0.2425,774900000,-1.87
338,09-21-2020,0.23083,0.2466,0.24808,0.22928,124000000,-6.32
337,09-22-2020,0.23295,0.23079,0.23451,0.22942,835780000,0.92
336,09-23-2020,0.22145,0.23297,0.23503,0.22042,705560000,-4.94
335,09-24-2020,0.23273,0.22146,0.23383,0.21955,791790000,5.09
334,09-25-2020,0.24155,0.23279,0.24467,0.22962,875930000,3.79
333,09-26-2020,0.24157,0.24149,0.24546,0.23776,939300000,0.01
332,09-27-2020,0.24339,0.24151,0.24468,0.23743,943950000,0.75
331,09-28-2020,0.24099,0.24331,0.24838,0.24017,140000000,-0.98
330,09-29-2020,0.24274,0.24105,0.24661,0.23845,125000000,0.73
329,09-30-2020,0.24174,0.24288,0.24288,0.23774,122000000,-0.42
328,10-01-2020,0.23826,0.24183,0.24439,0.23418,124000000,-1.44
327,10-02-2020,0.2339,0.23824,0.23934,0.22849,123000000,-1.83
326,10-03-2020,0.23273,0.23396,0.23523,0.23255,108000000,-0.5
325,10-04-2020,0.24785,0.23265,0.25014,0.23152,130000000,6.5
324,10-05-2020,0.2503,0.24792,0.2542,0.24637,116000000,0.99
323,10-06-2020,0.24567,0.25051,0.25916,0.24074,141000000,-1.85
322,10-07-2020,0.24872,0.24562,0.2514,0.24097,115000000,1.24
321,10-08-2020,0.25113,0.24862,0.25289,0.24208,975370000,0.97
320,10-09-2020,0.25291,0.25117,0.25662,0.24957,125000000,0.71
319,10-10-2020,0.25392,0.25299,0.2601,0.25288,124000000,0.4
318,10-11-2020,0.25537,0.25391,0.25848,0.25327,113000000,0.57
317,10-12-2020,0.25606,0.2554,0.25819,0.24918,139000000,0.27
